230	8	2.59E-002	5.07E-002	94.00%	7597.14	3312.27	2.23E-002	4.05E-002	78.00%	13929.34	4128.19
235	8	1.01E-001	1.96E-001	96.00%	7304.34	3054.96	2.62E-001	4.89E-001	78.00%	14124.10	3202.50
240	8	1.85E-003	3.44E-003	88.00%	9737.84	5067.69	4.90E-002	9.49E-002	82.00%	15119.50	3921.86
245	8	2.80E-004	5.26E-004	94.00%	7443.52	3196.70	7.18E-004	1.18E-003	80.00%	14494.62	3815.78
250	8	3.16E-003	6.00E-003	94.00%	6949.84	2837.26	1.04E-002	1.80E-002	76.00%	15061.50	4325.28
255	7	1.56E-001	2.99E-001	96.00%	7738.46	3031.07	7.77E-001	1.48E+000	78.00%	13653.54	4510.79
260	7	9.90E-003	1.84E-002	92.00%	8588.32	3976.38	2.96E-002	5.35E-002	78.00%	14047.82	3652.60
265	7	2.00E-001	3.81E-001	90.00%	8297.28	3819.56	2.84E-001	5.38E-001	72.00%	15148.52	3779.40
270	7	1.09E-002	2.13E-002	98.00%	7856.34	3816.44	2.57E-001	4.75E-001	68.00%	15136.20	4852.89
275	7	2.42E-003	4.35E-003	90.00%	6830.86	2568.51	4.29E-003	6.37E-003	64.00%	15251.80	4136.82
280	7	2.63E-001	5.10E-001	96.00%	9003.92	4184.86	4.04E-001	7.55E-001	76.00%	14837.78	4254.94
285	7	2.97E+000	5.69E+000	88.00%	8145.54	3584.35	7.42E-001	1.42E+000	78.00%	15271.84	4413.34
290	6	5.47E-003	1.01E-002	92.00%	8337.32	4537.11	1.39E+000	2.67E+000	72.00%	16089.04	4066.48
295	6	1.33E-005	2.50E-005	94.00%	8465.96	3477.99	5.29E-001	1.02E+000	66.00%	15501.56	4382.09
300	6	1.08E-001	2.03E-001	94.00%	10341.00	5094.24	3.26E-002	5.75E-002	78.00%	15855.60	3902.84
305	6	1.28E-004	2.52E-004	98.00%	7487.96	2545.22	2.12E-001	4.13E-001	88.00%	15287.78	4579.35
310	6	3.54E-002	6.41E-002	90.00%	8858.20	4326.70	7.99E-002	1.43E-001	76.00%	16649.24	4801.49
