1.96E-028	3.82E-028	100.00%	37370.02	16420.62	1.78E-007	3.49E-007	100.00%	65589.32	5011.32
1.89E-007	3.71E-007	100.00%	28980.88	10973.11	4.73E-008	9.28E-008	100.00%	42374.62	2175.41
8.20E-031	1.51E-030	100.00%	21373.48	5217.99	2.43E-022	4.76E-022	100.00%	38837.40	2425.66
1.23E-027	2.42E-027	100.00%	18434.06	2113.43	3.10E-028	6.05E-028	100.00%	22117.96	2188.76
3.35E-028	6.56E-028	100.00%	17565.92	1789.84	8.43E-029	1.64E-028	100.00%	19983.58	1458.90
2.05E-031	3.94E-031	100.00%	17864.72	1803.72	1.44E-026	2.77E-026	100.00%	20381.70	1092.72
1.87E-027	3.65E-027	100.00%	17637.36	1642.08	4.73E-028	9.11E-028	100.00%	20116.16	1543.13
5.53E-029	1.05E-028	100.00%	17857.60	1532.42	1.50E-029	2.63E-029	100.00%	20430.36	1716.52
3.53E-030	6.53E-030	100.00%	17195.38	1683.48	1.22E-026	2.39E-026	100.00%	19621.00	1108.52
6.41E-030	1.19E-029	100.00%	17511.34	1742.05	3.25E-030	4.92E-030	100.00%	19897.78	1385.32
