1615	6.13E-005	1.11E-005	212	7816	
791	6.31E-007	1.17E-005	213	9230	
5175	4.03E-007	1.51E-005	198	10217	
1144	4.76E-010	1.18E-005	210	10817	
8233	7.96E-005	9.36E-006	407	10973	
647	2.15E-005	9.85E-006	210	10495	
5783	9.01E-005	1.56E-005	47	12408	
1063	2.82E-005	1.26E-005	49	7936	
321	3.09E-005	2.07E-005	321	7341	
1720	1.43E-005	1.42E-005	178	10531	
1611	6.10E-006	1.59E-005	255	9414	
833	3.45E-007	1.20E-005	362	8589	
3467	1.76E-005	1.99E-005	150	8470	
2537	1.25E-011	1.27E-005	367	9223	
1452	7.27E-005	9.06E-006	362	11044	
2699	7.34E-008	2.09E-005	405	11056	
370	3.63E-007	4.39E-002	114	8928	
198	9.19E-007	1.93E-005	49	11987	
2209	3.32E-011	1.26E-005	256	9707	
1904	1.10E-006	1.14E-005	367	8456	
1131	8.72E-005	2.70E-002	206	8901	
3161	6.45E-006	9.72E-006	126	10193	
2221	2.12E-007	1.07E-005	519	8118	
6729	4.34E-005	1.30E-005	189	7513	
2212	3.12E-009	1.17E-005	0	11117	
7943	4.21E-006	1.15E-005	204	10951	
983	4.56E-006	1.28E-005	204	10924	
1145	6.28E-010	1.53E-005	58	10808	
521	1.76E-012	1.28E-005	58	8279	
3445	1.85E-010	1.86E-005	670	12789	
1138	7.19E-005	2.30E-005	265	8773	
1107	7.93E-007	9.60E-006	213	10126	
988	1.87E-006	3.79E-005	560	9831	
183	2.06E-006	7.07E-005	183	10784	
812	2.73E-005	1.43E-005	99	10690	
1605	7.95E-005	1.12E-005	402	8772	
1134	6.25E-005	1.17E-005	242	9534	
1446	1.26E-006	6.00E-004	46	11413	
4072	8.12E-008	1.50E-006	258	15567	
1199	9.99E-007	8.93E-006	211	9099	
2226	1.88E-005	4.98E-006	369	10684	
1796	4.56E-007	7.95E-006	340	8025	
658	1.47E-006	1.43E-005	97	7980	
666	3.91E-006	1.19E-005	258	11760	
1294	2.68E-008	1.08E-005	208	8616	
1761	2.73E-005	6.72E-006	719	12067	
825	3.04E-007	1.04E-005	367	12260	
2214	4.16E-008	1.22E-005	519	7834	
1596	8.24E-005	2.03E-005	136	7829	
4543	1.40E-010	1.64E-005	237	8285	
830	2.99E-006	1.99E-005	50	11286	
3452	1.62E-006	9.03E-006	61	8316	
1606	5.14E-009	2.03E-005	494	6635	
198	2.57E-005	3.98E-004	198	9718	
2381	9.98E-008	1.03E-005	245	8503	
4555	9.66E-008	8.79E-006	57	10380	
2387	1.35E-008	9.25E-006	361	8307	
1448	7.33E-011	1.32E-005	518	9517	
1891	3.06E-009	8.27E-006	207	8478	
2846	1.33E-011	4.38E-006	361	10251	
1142	3.22E-007	1.76E-005	98	8766	
1767	1.26E-006	5.44E-006	93	11616	
989	5.49E-010	1.49E-005	706	10005	
7476	2.22E-008	1.34E-005	518	11427	
4700	1.93E-012	1.28E-005	321	8750	
806	1.77E-005	8.25E-006	806	11079	
980	1.52E-006	1.92E-005	252	9683	
5001	3.78E-014	1.36E-005	559	9696	
962	1.25E-005	9.88E-006	519	8907	
822	1.71E-008	1.81E-005	42	7103	
34	3.41E-002	1.37E-003	34	11221	
2228	2.28E-005	9.20E-005	141	12831	
1138	4.39E-007	1.86E-005	100	7990	
1286	8.35E-005	1.21E-005	45	8624	
1303	5.59E-010	2.58E-004	115	7836	
2231	3.44E-006	8.77E-006	0	10820	
7346	3.53E-005	1.64E-005	209	10194	
2668	9.15E-008	8.24E-006	499	7547	
5327	1.23E-006	1.08E-004	246	9058	
Function                             : Foxholes2D
Mean Fitness Evaluations [Global]    : 2186.77
Mean Error [Global]                  : 3.55E-004
Std. Dev. Error [Global]             : 6.75E-004
Sucess [Global]                      : 99.00%
Mean Error [Local]                   : 7.50E-004
Std. Dev. Error [Local]              : 1.40E-003
Success [Local]                      : 93.00%
Mean Fitness Evaluations [1st Peak]  : 256.57
Mean Fitness Evaluations [Last Peak] : 9546.19
2845	1.57E-005	8.67E-003	0	12255	
2983	3.95E-005	2.86E-005	494	5475	
507	9.83E-007	2.70E-005	507	8222	
519	6.74E-006	2.14E-005	519	7767	
670	6.10E-005	2.95E-005	670	5766	
664	3.82E-007	2.28E-005	664	8393	
826	4.86E-005	3.16E-005	826	7771	
1139	8.22E-005	2.04E-005	874	8887	
668	5.60E-005	4.07E-005	668	17197	
1285	1.04E-005	2.29E-004	998	9315	
519	1.22E-005	1.12E-002	519	17487	
59	2.09E-001	2.32E-002	59	10233	
1907	3.97E-007	3.18E-005	523	8850	
820	4.31E-005	2.99E-005	820	5621	
517	3.60E-005	3.71E-005	517	7779	
799	2.48E-005	3.63E-005	356	6541	
1441	9.66E-005	3.11E-005	658	10390	
638	1.19E-005	2.73E-005	638	17962	
949	4.32E-006	2.47E-005	407	12568	
1439	7.41E-007	2.22E-005	1184	9635	
1139	1.11E-005	2.38E-005	1020	8079	
3911	7.36E-006	3.15E-005	865	6373	
2048	9.55E-005	3.58E-005	692	8236	
1111	7.36E-006	1.55E-005	514	9007	
829	2.26E-005	2.03E-005	714	10256	
971	5.53E-005	8.08E-003	23	6857	
3149	2.96E-005	7.02E-004	674	17029	
525	1.41E-006	1.92E-005	525	6683	
829	2.50E-005	2.03E-005	829	7287	
1294	4.96E-005	2.97E-005	724	6690	
798	8.55E-006	1.13E-003	798	6851	
521	2.32E-005	4.19E-005	521	7001	
2972	1.90E-006	2.07E-005	817	6074	
508	3.73E-005	2.26E-005	508	10384	
5154	1.46E-005	2.37E-005	671	5339	
523	1.56E-006	3.89E-005	523	7915	
2378	9.74E-006	2.23E-005	827	7929	
644	1.18E-005	2.53E-005	644	7777	
983	4.97E-005	4.40E-005	983	13478	
1426	1.55E-006	3.19E-005	555	10255	
648	2.16E-005	3.63E-005	648	10721	
523	2.14E-005	1.48E-005	523	8239	
4075	1.84E-006	1.06E-005	673	9625	
828	1.35E-007	2.52E-005	828	6237	
2050	1.64E-005	1.81E-005	801	11029	
4530	8.22E-006	3.76E-005	662	7777	
667	1.22E-006	2.97E-005	667	9018	
2364	2.05E-006	3.48E-005	665	15641	
829	7.16E-006	2.84E-005	710	11319	
966	3.30E-005	2.27E-005	966	7295	
1292	1.80E-005	1.04E-005	716	10392	
676	1.58E-005	3.60E-005	676	6862	
7662	1.02E-001	1.14E-002	516	8248	
2341	4.03E-005	3.13E-005	712	13014	
663	2.88E-005	2.52E-005	566	9011	
1423	2.83E-006	2.52E-001	78	6545	
516	3.47E-005	1.77E-005	516	4841	
817	2.51E-006	3.51E-005	714	11791	
362	1.85E-005	1.31E-002	362	10367	
949	6.60E-005	2.78E-005	874	15174	
2841	7.60E-005	3.55E-005	520	5778	
515	4.77E-005	1.39E-003	515	15012	
2368	8.43E-007	3.45E-005	668	8046	
1128	1.84E-005	2.36E-005	719	12869	
2978	9.40E-005	3.62E-005	1754	10707	
2828	2.89E-006	2.36E-005	713	15192	
1909	2.42E-005	3.81E-005	674	6391	
641	3.06E-005	2.90E-005	552	8074	
831	9.37E-008	4.20E-005	696	10695	
826	7.06E-006	2.62E-005	706	16249	
2210	2.75E-005	2.88E-005	985	22257	
675	2.04E-005	3.55E-005	675	8385	
952	4.04E-006	3.57E-003	952	14410	
818	1.48E-007	2.10E-005	818	9933	
810	9.63E-008	3.73E-005	720	12880	
2986	1.92E-006	1.15E-005	672	8854	
1438	3.42E-005	4.15E-005	720	11938	
1452	2.21E-005	1.86E-005	671	10414	
675	6.23E-007	2.01E-005	675	8859	
519	7.64E-005	3.55E-005	519	12708	
983	9.54E-006	3.88E-005	983	9621	
668	9.70E-006	2.30E-005	668	11777	
827	6.46E-006	2.60E-005	706	5768	
670	5.76E-005	1.23E-002	25	14259	
674	1.62E-005	3.06E-005	559	13023	
2372	2.60E-003	3.15E-004	178	7769	
364	7.52E-006	5.25E-005	364	9781	
340	3.22E-005	1.77E-005	340	7456	
675	4.60E-005	2.03E-002	675	6397	
824	2.22E-005	2.46E-005	824	9826	
3294	3.37E-006	2.93E-005	794	14741	
3143	7.66E-005	4.16E-005	523	7476	
831	1.78E-005	1.99E-005	521	10091	
1753	1.56E-005	2.69E-005	968	6213	
652	2.13E-005	1.98E-005	652	8858	
1755	2.49E-005	3.55E-005	361	6534	
1756	6.25E-005	2.45E-005	671	17634	
818	3.24E-006	1.97E-005	818	12080	
982	5.85E-006	3.14E-005	874	6996	
654	2.26E-006	1.76E-005	654	6234	
Function                             : Ratrigin
Mean Fitness Evaluations [Global]    : 1405.23
Mean Error [Global]                  : 3.16E-003
Std. Dev. Error [Global]             : 6.09E-003
Sucess [Global]                      : 97.00%
Mean Error [Local]                   : 3.70E-003
Std. Dev. Error [Local]              : 6.54E-003
Success [Local]                      : 85.00%
Mean Fitness Evaluations [1st Peak]  : 652.83
Mean Fitness Evaluations [Last Peak] : 9829.45
1609	8.02E-006	4.95E-006	554	38786	
1603	7.78E-005	3.20E-005	549	3783	
1282	8.21E-005	3.07E-005	1282	20778	
1286	8.69E-006	1.99E-001	1286	24152	
1112	9.73E-005	4.91E-005	873	9927	
981	1.37E-005	3.54E-005	981	30710	
1290	5.40E-005	1.99E-001	868	34555	
1443	2.59E-005	4.16E-005	1443	20588	
1446	9.34E-005	4.61E-001	521	8838	
1295	6.35E-005	3.48E-005	1295	19043	
