1	13.505697	0.768677
2	10.899917	1.464310
3	9.737343	1.115504
4	9.330657	1.025604
5	9.247303	0.636041
6	7.232364	0.394529
7	6.603644	0.528007
8	6.491034	0.245802
9	5.967277	0.262897
10	5.640718	0.271337
11	5.077716	0.182628
12	5.441762	0.394544
13	6.103610	0.255918
14	6.301688	0.320370
15	6.337495	0.222548
16	6.740927	0.232606
17	6.914701	0.213785
18	6.922284	0.232213
19	7.191564	0.407189
20	7.390001	0.342782
21	7.940244	0.418105
22	8.082950	0.317434
23	8.238651	0.232215
24	8.229838	0.239432
25	9.081899	0.335977
26	9.656231	0.316905
27	9.753338	0.223040
28	9.917214	0.231536
29	9.493038	0.248330
30	9.838077	0.405618
31	10.101835	0.572826
32	10.436514	0.417624
33	10.567050	0.378116
34	10.621792	0.479675
35	11.060950	0.308090
36	11.486069	0.309503
37	11.638466	0.235655
38	11.786649	0.720733
39	11.982009	0.431400
40	12.226657	0.425428
