[(3.8422309066366, 64.1584782694273, 84.059107901556)(23.8336757492689, 64.1139985128262, 83.8569689840293)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338126456, 33.299632198319)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556639405, 21.5007814666501)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(23.8336757492689, 64.1139985128262, 83.8569689840293)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156027831, 48.2882732279423)]	1	2	10	60.00	19083	4.17420745090313
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782705634, 84.0591079028139)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338146312, 33.2996322006328)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627791, 62.4513338146312, 33.2996322006328)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121816462, 89.9686327645399)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156080932, 48.2882732326055)]	1	3	0	80.00	4607	1.90852583661142
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.84223090663839, 64.1584782615969, 84.0591078503078)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338156225, 33.2996321961255)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556554875, 21.5007814660949)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.84223090663839, 64.1584782615969, 84.0591078503078)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156072843, 48.2882732250037)]	1	3	1	80.00	6233	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.158478268889, 84.0591079045489)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(0.820433721328399, 84.8294156100958, 48.2882732255742)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556545443, 21.5007814648809)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121807737, 89.9686327590908)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156100958, 48.2882732255742)]	1	3	2	80.00	7806	1.91326686829014
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782661975, 84.0591079017402)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338144959, 33.2996322016028)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627791, 62.4513338144959, 33.2996322016028)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066366, 64.1584782661975, 84.0591079017402)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156048984, 48.2882732265361)]	1	3	3	60.00	9396	6.08273328751454
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782679368, 84.0591078987318)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(0.820433721328399, 84.829415606567, 48.2882732293401)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458363, 33.1785556417208, 21.5007814666705)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121800798, 89.9686327611973)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.829415606567, 48.2882732293401)]	1	3	4	80.00	11008	1.91326686829016
[(3.8422309066366, 64.1584782694273, 84.059107901556)(24.7132681611522, 95.2735121826739, 89.9686327610587)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338114192, 33.2996321998666)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556534658, 21.500781466548)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121826739, 89.9686327610587)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156105116, 48.2882732267757)]	1	3	5	80.00	12609	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782678717, 84.0591079001081)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338123931, 33.2996322013322)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627791, 62.4513338123931, 33.2996322013322)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121834989, 89.9686327628664)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156056442, 48.288273226141)]	1	3	6	80.00	14199	1.90852583661142
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782687101, 84.0591079032533)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338132299, 33.2996321967355)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556561807, 21.5007814658142)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121792359, 89.9686327595011)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.829415606592, 48.2882732241712)]	1	3	7	100.00	15806	0
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.84223090663667, 64.1584782691143, 84.0591079125314)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.45133381502, 33.2996321999582)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.178555647331, 21.500781466931)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.84223090663667, 64.1584782691143, 84.0591079125314)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.829415610261, 48.288273230614)]	1	3	8	80.00	17396	4.17420745090312
